2026-03-04 16:27:55,223 [INFO] can_viewer_qt: Logging initialized at C:\Softwaredevtest\codexfirstprog\can-bus-viewer\can_viewer_qt_20260304.log
2026-03-04 16:28:11,679 [INFO] can_viewer_qt: Logging initialized at C:\Softwaredevtest\codexfirstprog\can-bus-viewer\can_viewer_qt_20260304.log
2026-03-04 16:29:23,344 [INFO] can_viewer_qt: Logging initialized at C:\Softwaredevtest\codexfirstprog\can-bus-viewer\can_viewer_qt_20260304.log
2026-03-04 16:29:23,516 [WARNING] can.pcan: uptime library not available, timestamps are relative to boot time and not to Epoch UTC
2026-03-04 16:29:23,543 [INFO] can_viewer_qt: Application started. log_path=C:\Softwaredevtest\codexfirstprog\can-bus-viewer\can_viewer_qt_20260304.log
2026-03-04 16:29:34,763 [INFO] can_viewer_qt.main_window: Connect: Connected | PCAN channel=PCAN_USBBUS1 bitrate=250000 bps
2026-03-04 16:29:47,009 [INFO] can_viewer_qt.main_window: DBC frame-id override 0x18FF0028: TM4_ABI_ICU_J1939_protocol_V1_0:VmuInfo1 -> TM4_ICU_J1939_protocol_V1_0:VmuInfo1
2026-03-04 16:29:47,233 [INFO] can_viewer_qt.main_window: DBC frame-id override 0x14FF4164: XPAND_Application:BATT_Cnc_Temp_Module -> XPAND_Internal:MCU_Address
2026-03-04 16:29:47,244 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=150, processed=60)
2026-03-04 16:29:48,252 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=0, processed=0)
2026-03-04 16:29:49,252 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=0, processed=0)
2026-03-04 16:29:50,262 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=0, processed=0)
2026-03-04 16:29:51,265 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=0, processed=0)
2026-03-04 16:29:52,271 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=0, processed=0)
2026-03-04 16:29:53,287 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=20, processed=20)
2026-03-04 16:29:54,291 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=16, processed=16)
2026-03-04 16:29:55,299 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=16, processed=16)
2026-03-04 16:29:56,301 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=3, processed=3)
2026-03-04 16:29:57,317 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=3, processed=3)
2026-03-04 16:29:58,322 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=0, processed=0)
2026-03-04 16:29:59,331 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=4, processed=4)
2026-03-04 16:30:00,331 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=4, processed=4)
2026-03-04 16:30:01,413 [INFO] can_viewer_qt.main_window: Removed DBC files: EMP_WP29_cooling_pump_bat.dbc
2026-03-04 16:30:01,416 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=147, processed=60)
2026-03-04 16:30:02,425 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=1, processed=1)
2026-03-04 16:30:03,432 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=4, processed=4)
2026-03-04 16:30:04,445 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=0, processed=0)
2026-03-04 16:30:05,451 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=0, processed=0)
2026-03-04 16:30:06,467 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=1, processed=1)
2026-03-04 16:30:07,490 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=5, processed=5)
2026-03-04 16:30:08,569 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=35, processed=35)
2026-03-04 16:30:09,583 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=14, processed=14)
2026-03-04 16:30:10,655 [INFO] can_viewer_qt.main_window: High traffic: render=1/2, decode=1/1 (queue=34, processed=34)
